rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
REL_000047,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,最高工作温度 +45°C,Parameter,系统工作环境温度参数,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000048,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,气源工作压力 0.65-0.7MPa,Parameter,系统气源工作压力标准,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000049,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,气源输入压力 1.0MPa,Parameter,系统气源输入压力要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000050,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,调速范围 40%-103%,Parameter,系统具有特定的调速范围参数,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000051,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,遥控系统控制参数,Parameter,系统具有可在现场调整的控制参数,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000052,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_PARAMETER,高温环境相对湿度 70%,Parameter,系统高温环境下湿度参数,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000053,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,三电源各自独立互不干扰,SafetyNote,系统设计需遵循电源独立的安全要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000054,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,安全越控,SafetyNote,系统支持驾驶员在紧急情况下使用安全越控功能,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000055,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,推进系统减速停车预报警,SafetyNote,系统在遥控时需具备减速停车预报警功能以保障安全,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000056,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,穿过甲板处设通船管件,SafetyNote,系统安装需遵守通船管件设置要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000057,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,符合钢质海船舶入级与建造规范及船级社规定,SafetyNote,系统必须符合相关安全规范,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3
REL_000058,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,管路连接前高压气体吹扫,SafetyNote,系统安装需遵守管路吹扫安全要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000059,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,装置安装加装 10mm 厚橡胶垫或减震块,SafetyNote,系统安装需遵守防震安全要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000060,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,装置安装后用滞燃帆布罩住,SafetyNote,系统安装需遵守装置防护安全要求,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000061,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,RELATED_TO,主机,Equipment,系统直接调节主机的转速,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_0
REL_000062,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,RELATED_TO,倒顺离合器齿轮箱,Equipment,系统直接操纵齿轮箱的脱合排换向,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_0
REL_000063,CDQY2A-PC2-6 型船用主柴油机电气遥控系统,System,RELATED_TO,调速器,Component,遥控系统向调速器给定转速信号以控制主机,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000064,CEFP 型通讯电缆,Component,HAS_PARAMETER,电缆截面积不小于 0.75mm^2,Parameter,CEFP 型通讯电缆的截面积参数要求,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_6
REL_000065,COM1,Component,HAS_PARAMETER,IN1 到 IN8,Parameter,COM1 公共端对应 IN1 到 IN8 输入通道,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7
REL_000066,COM2,Component,HAS_PARAMETER,IN9 到 IN16,Parameter,COM2 公共端对应 IN9 到 IN16 输入通道,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7
REL_000067,COM3,Component,HAS_PARAMETER,IN17 到 IN24,Parameter,COM3 公共端对应 IN17 到 IN24 输入通道,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7
REL_000068,COM4,Component,HAS_PARAMETER,IN25 到 IN32,Parameter,COM4 公共端对应 IN25 到 IN32 输入通道,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7
REL_000069,CRT17 显示器,Component,BELONGS_TO,显示器,Component,CRT17 显示器是显示器的一种具体类型,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_9
REL_000070,GND 接线端子,Component,RELATED_TO,电源,Equipment,GND 接线端子需连接电源,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4
REL_000071,LCD/CRT,Component,HAS_COMPONENT,报警速显窗口,Component,显示组件上包含报警速显窗口功能,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_2
REL_000072,LCD/CRT,Component,HAS_PARAMETER,功率,Parameter,显示组件具有功率消耗参数,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000073,LCD/CRT,Component,RELATED_TO,外界谐波,FaultCause,显示组件具有抗外界谐波干扰的能力,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_2
REL_000074,LCD17 显示器,Component,BELONGS_TO,显示器,Component,LCD17 显示器是显示器的一种具体类型,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_9
REL_000075,PLC 微机,Component,HAS_FAULT,工作不正常,FaultPhenomenon,PLC 微机可能出现工作不正常的故障,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27
REL_000076,PLC 微机,Component,HAS_SAFETY_NOTE,严防铁屑、水、油污、杂质掉入内部,SafetyNote,PLC 微机维护需注意防止异物掉入,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000077,PLC 微机,Component,HAS_SAFETY_NOTE,未经船方或设备厂家同意，任何人不准擅自打开或修改程序,SafetyNote,PLC 微机程序修改的安全禁忌,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27
REL_000078,RS485 总线,Component,HAS_COMPONENT,船用双芯通讯双绞屏蔽电缆,Component,RS-485 总线建议使用的电缆组件,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_6
REL_000079,RS485 总线,Component,HAS_SAFETY_NOTE,数据线不能接反或接到电源上,SafetyNote,RS-485 总线接线的安全注意事项,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_6
REL_000080,RS485 总线,Component,RELATED_TO,设置地址码,DiagnosticMethod,RS485 总线设备需进行地址设定,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4
REL_000081,UPS,Equipment,HAS_FAULT,损坏,FaultPhenomenon,UPS 可能发生损坏故障,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_6
REL_000082,UPS,Equipment,HAS_PARAMETER,1000W,Parameter,UPS 具有 1000W 功率参数,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_6
REL_000083,UPS,Equipment,HAS_SAFETY_NOTE,主电源正常断电时，必须将 UPS 关闭,SafetyNote,UPS 维护时需遵守主电源断电关闭的安全要求,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_6
REL_000084,UPS,Equipment,RELATED_TO,报警系统,System,UPS 为报警系统提供备用电源以支持关闭或维修,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_6
REL_000085,VDR,Equipment,HAS_COMPONENT,LCD/CRT,Component,VDR 系统包含显示组件,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000086,VDR,Equipment,HAS_COMPONENT,主机,Equipment,VDR 系统包含主机单元,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000087,VDR,Equipment,HAS_COMPONENT,打印机,Equipment,VDR 系统连接打印机外设,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000088,VDR,Equipment,HAS_COMPONENT,电源,Component,VDR 设备包含电源组件,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000089,VDR,Equipment,HAS_PARAMETER,工作温度,Parameter,VDR 设备具有工作温度范围限制,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000090,VDR,Equipment,HAS_PARAMETER,测量精度,Parameter,VDR 系统具有测量精度指标,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000091,VDR,Equipment,HAS_PARAMETER,环境适应性,Parameter,VDR 设备具有环境适应性要求,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000092,VDR 数据通讯模块,Component,RELATED_TO,VDR,Equipment,VDR 数据通讯模块连接 VDR 装置,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_8
REL_000093,VDR 数据通讯模块,Component,RELATED_TO,工业控制计算机系统,System,VDR 数据通讯模块连接工业控制计算机系统,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_8
REL_000094,一体化开关电源,Component,HAS_PARAMETER,输入电压 AC220V,Parameter,一体化开关电源的输入电压为 AC220V,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15
REL_000095,一体化开关电源,Component,HAS_PARAMETER,输出电压 DC24V,Parameter,一体化开关电源的输出电压为 DC24V,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15
REL_000096,三位四通气控换向阀,Component,HAS_PARAMETER,0.6Mpa 压缩压缩空气,Parameter,换向阀由 0.6Mpa 压缩空气推动,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000097,两位置转换气阀,Component,RELATED_TO,气动逻辑阀箱 LU,Component,转换气阀接通通向气动逻辑阀箱的气源,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000098,严防铁屑、水、油污、杂质掉入内部,SafetyNote,RELATED_TO,铁屑、水、油污、杂质,FaultCause,安全注意针对的故障原因,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000099,主控单元,Component,HAS_COMPONENT,D3 灯,Component,主控单元包含 D3 状态指示灯,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000100,主控单元,Component,HAS_COMPONENT,S1,Component,主控单元包含 S1 开关,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000101,主控单元,Component,REPAIRED_BY,"把主控单元 S1 的 2,3 脚短接以后上电",RepairMethod,主控单元调试通过短接 S1 并上电进行,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000102,主控单元的 D3 灯亮了,FaultPhenomenon,RELATED_TO,取掉 24V 电源,RepairMethod,D3 灯亮后执行断电操作,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5
REL_000103,主机,Equipment,HAS_COMPONENT,主机停车阀,Component,主机系统包含停车阀,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000104,主机,Equipment,HAS_COMPONENT,主机调速器,Equipment,主机转速由液压调速器调节,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000105,主机,Equipment,HAS_PARAMETER,功率,Parameter,主机单元具有功率消耗参数,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_3
REL_000106,主机,Equipment,HAS_PARAMETER,怠速,Parameter,主机具有怠速运行参数,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22
REL_000107,主机,Equipment,HAS_SAFETY_NOTE,完车前,SafetyNote,主机操作需在完车前进行特定设置,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22
REL_000108,主机,Equipment,RELATED_TO,螺旋桨尾轴,Component,主机与尾轴连接,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20
REL_000109,主机,Equipment,RELATED_TO,调速器,Component,主机配备调速器,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20
REL_000110,主机,Equipment,REPAIRED_BY,将转速调至怠速,RepairMethod,主机通过将转速调至怠速步骤进行调整,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22
REL_000111,主机,Equipment,REPAIRED_BY,起动主机,RepairMethod,主机通过起动主机步骤进行操作,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22
REL_000112,主机调速器,Equipment,HAS_COMPONENT,主机调试手柄,Component,主机调速器包含调试手柄,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
