head,head_label,relation,tail,tail_label,description,chunk_id
船舶电力推进系统,System,HAS_COMPONENT,6.6kV和11kV中压电机,Equipment,中压电机引入到船舶电力推进系统,船舶电气设备及系统::chunk_1
船舶电力推进系统,System,HAS_COMPONENT,中压变频装置,Equipment,中压变频装置引入到船舶电力推进系统,船舶电气设备及系统::chunk_1
船舶电力推进系统,System,HAS_COMPONENT,中压供配电系统,System,中压供配电系统引入到船舶电力推进系统,船舶电气设备及系统::chunk_1
发电机,Equipment,HAS_FAULT,磁场,Parameter,发电机利用导体切割磁力线而产生电动势，涉及磁场,船舶电气设备及系统::chunk_2
电动机,Equipment,HAS_FAULT,磁场,Parameter,电动机由载流导体在磁场中受到电磁力矩而旋转,船舶电气设备及系统::chunk_2
继电器,Equipment,HAS_FAULT,磁场,Parameter,继电器等运行动作蕴含着电与磁的相互作用,船舶电气设备及系统::chunk_2
接触器,Equipment,HAS_FAULT,磁场,Parameter,接触器等运行动作蕴含着电与磁的相互作用,船舶电气设备及系统::chunk_2
变压器,Equipment,HAS_FAULT,磁场,Parameter,变压器等运行动作蕴含着电与磁的相互作用,船舶电气设备及系统::chunk_2
电工仪表,Equipment,HAS_FAULT,磁场,Parameter,电工仪表等运行动作蕴含着电与磁的相互作用,船舶电气设备及系统::chunk_2
永久磁铁,Equipment,HAS_PARAMETER,磁场,Parameter,永久磁铁的周围存在磁场,船舶电气设备及系统::chunk_2
磁场,Parameter,DIAGNOSED_BY,磁力线,Parameter,磁场的分布情况用闭合磁力线来描述,船舶电气设备及系统::chunk_2
通电导体,Equipment,HAS_PARAMETER,磁场,Parameter,通电导体的周围存在着磁场,船舶电气设备及系统::chunk_2
螺旋管线圈,Component,HAS_PARAMETER,磁场,Parameter,通电导体绕成的螺旋管线圈周围存在磁场,船舶电气设备及系统::chunk_2
磁场,Parameter,DIAGNOSED_BY,右手螺旋定则,DiagnosticMethod,磁场的方向与电流方向的关系可用右手螺旋定则来确定,船舶电气设备及系统::chunk_2
磁感应强度,Parameter,RELATED_TO,磁场,Parameter,磁感应强度用于表示磁场内某点的磁场强弱和方向,船舶电气设备及系统::chunk_2
磁感应强度,Parameter,HAS_PARAMETER,电磁力,Parameter,磁感应强度计算公式中包含电磁力F,船舶电气设备及系统::chunk_2
磁感应强度,Parameter,HAS_PARAMETER,导体长度,Parameter,磁感应强度与导体长度相关,船舶电气设备及系统::chunk_3
磁感应强度,Parameter,HAS_PARAMETER,电流,Parameter,磁感应强度与电流相关,船舶电气设备及系统::chunk_3
磁感应强度,Parameter,DIAGNOSED_BY,右手螺旋定则,DiagnosticMethod,磁感应强度与电流方向关系由右手螺旋定则确定,船舶电气设备及系统::chunk_3
均匀磁场,Parameter,DIAGNOSED_BY,磁力线,Parameter,均匀磁场可用疏密均匀、方向相同的磁力线表示,船舶电气设备及系统::chunk_3
磁通,Parameter,HAS_PARAMETER,磁感应强度,Parameter,磁通是磁感应强度与面积的乘积,船舶电气设备及系统::chunk_3
磁通,Parameter,DIAGNOSED_BY,磁力线,Parameter,通过面积的磁力线总数反映磁通大小,船舶电气设备及系统::chunk_3
磁场强度,Parameter,DIAGNOSED_BY,安培环路定律,DiagnosticMethod,磁场强度由安培环路定律计算,船舶电气设备及系统::chunk_3
磁场强度,Parameter,HAS_PARAMETER,磁动势,Parameter,磁场强度与磁动势相关,船舶电气设备及系统::chunk_3
导磁率,Parameter,HAS_PARAMETER,磁感应强度,Parameter,磁导率等于磁感应强度与磁场强度的比值,船舶电气设备及系统::chunk_3
导磁率,Parameter,HAS_PARAMETER,磁场强度,Parameter,磁导率等于磁感应强度与磁场强度的比值,船舶电气设备及系统::chunk_3
磁导率 μ,Parameter,HAS_PARAMETER,磁感应强度,Parameter,磁导率等于磁感应强度与磁场强度的比值,船舶电气设备及系统::chunk_4
磁导率 μ,Parameter,HAS_PARAMETER,磁场强度,Parameter,磁导率等于磁感应强度与磁场强度的比值,船舶电气设备及系统::chunk_4
相对磁导率 μr,Parameter,HAS_PARAMETER,磁导率 μ,Parameter,相对磁导率等于物质的磁导率与真空磁导率的比值,船舶电气设备及系统::chunk_4
相对磁导率 μr,Parameter,HAS_PARAMETER,真空的磁导率 μ0,Parameter,相对磁导率等于物质的磁导率与真空磁导率的比值,船舶电气设备及系统::chunk_4
非磁性物质,Component,HAS_PARAMETER,相对磁导率 μr,Parameter,非磁性物质的相对磁导率约等于1,船舶电气设备及系统::chunk_4
磁性物质,Component,HAS_PARAMETER,磁导率 μ,Parameter,磁性物质的磁导率很大,船舶电气设备及系统::chunk_4
铁磁材料,Component,HAS_PARAMETER,高导磁性,Parameter,铁磁材料具有高导磁性的磁性能,船舶电气设备及系统::chunk_4
铁磁材料,Component,HAS_PARAMETER,磁饱和性,Parameter,铁磁材料具有磁饱和性的磁性能,船舶电气设备及系统::chunk_4
高导磁性,Parameter,CAUSED_BY,磁畴,Parameter,高导磁性是由于磁性物质内部存在磁畴结构,船舶电气设备及系统::chunk_4
磁畴,Parameter,RELATED_TO,外磁场,Parameter,在外磁场作用下，磁畴顺外磁场方向转向,船舶电气设备及系统::chunk_4
磁化,Parameter,CAUSED_BY,外磁场,Parameter,磁化是磁性物质在外磁场作用下磁畴转向的过程,船舶电气设备及系统::chunk_4
磁化,Parameter,HAS_PARAMETER,磁化磁场,Parameter,磁化过程产生一个很强的与外磁场同方向的磁化磁场,船舶电气设备及系统::chunk_4
船用电机,Equipment,HAS_COMPONENT,铁芯材料,Component,船用电机绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
船用电机,Equipment,HAS_COMPONENT,铜导体,Component,船用电机绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
变压器,Equipment,HAS_COMPONENT,铁芯材料,Component,变压器绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
变压器,Equipment,HAS_COMPONENT,铜导体,Component,变压器绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
接触器,Equipment,HAS_COMPONENT,铁芯材料,Component,接触器绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
接触器,Equipment,HAS_COMPONENT,铜导体,Component,接触器绕组采用铜导体绕在铁芯材料上,船舶电气设备及系统::chunk_4
非磁性材料,Component,HAS_PARAMETER,磁畴,Parameter,非磁性材料没有磁畴的结构,船舶电气设备及系统::chunk_5
磁性物质,Component,HAS_PARAMETER,磁饱和性,Parameter,磁性物质具有磁饱和性,船舶电气设备及系统::chunk_5
磁饱和性,Parameter,CAUSED_BY,外磁场,Parameter,磁饱和性与外磁场增强有关,船舶电气设备及系统::chunk_5
磁饱和性,Parameter,CAUSED_BY,励磁电流,Parameter,磁饱和性与励磁电流增大有关,船舶电气设备及系统::chunk_5
磁饱和性,Parameter,RELATED_TO,磁畴,Parameter,磁饱和时全部磁畴方向转向一致,船舶电气设备及系统::chunk_5
磁化磁场,Parameter,HAS_PARAMETER,磁感应强度B,Parameter,磁化磁场的磁感应强度B达饱和值,船舶电气设备及系统::chunk_5
磁性材料,Component,DIAGNOSED_BY,磁路计算,DiagnosticMethod,磁性材料的磁化曲线在磁路计算上极为重要,船舶电气设备及系统::chunk_5
磁通 Φ,Parameter,RELATED_TO,磁感应强度B,Parameter,磁通 Φ 与B成正比,船舶电气设备及系统::chunk_5
磁性物质,Component,HAS_PARAMETER,磁滞性,Parameter,磁性物质具有磁滞性,船舶电气设备及系统::chunk_5
铁芯线圈,Component,HAS_PARAMETER,交变电流,Parameter,铁芯线圈中通有交变电流,船舶电气设备及系统::chunk_5
交变电流,Parameter,CAUSED_BY,交变磁化,Parameter,交变电流导致铁芯受到交变磁化,船舶电气设备及系统::chunk_5
磁滞性,Parameter,DIAGNOSED_BY,磁滞回线,Parameter,磁滞性通过磁滞回线表示,船舶电气设备及系统::chunk_5
剩磁感应强度 B_r,Parameter,RELATED_TO,剩磁,Parameter,剩磁感应强度称为剩磁,船舶电气设备及系统::chunk_5
永久磁铁,Equipment,CAUSED_BY,剩磁,Parameter,永久磁铁的磁性由剩磁产生,船舶电气设备及系统::chunk_5
自励式直流发电机,Equipment,HAS_COMPONENT,磁极,Component,自励直流发电机的磁极,船舶电气设备及系统::chunk_5
磁极,Component,HAS_PARAMETER,剩磁,Parameter,磁极必须具有剩磁,船舶电气设备及系统::chunk_5
电磁吸盘,Equipment,HAS_FAULT,剩磁,Parameter,电磁吸盘有剩磁，将工件吸住,船舶电气设备及系统::chunk_5
平面磨床,Equipment,RELATED_TO,工件,Component,工件在平面磨床上加工,船舶电气设备及系统::chunk_5
剩磁,Parameter,REPAIRED_BY,反向去磁电流,Parameter,通入反向去磁电流去掉剩磁,船舶电气设备及系统::chunk_5
剩磁,Parameter,REPAIRED_BY,反向磁化,Parameter,通过反向磁化使剩磁消失,船舶电气设备及系统::chunk_5
矫顽磁力 H_c,Parameter,RELATED_TO,剩磁,Parameter,矫顽磁力是使剩磁消失所需的磁场,船舶电气设备及系统::chunk_5
磁滞回线,Parameter,DIAGNOSED_BY,磁性材料,Component,不同磁性材料有不同的磁滞回线,船舶电气设备及系统::chunk_5
软磁材料,Component,HAS_PARAMETER,矫顽磁力 H_c,Parameter,软磁材料具有较小的矫顽磁力,船舶电气设备及系统::chunk_5
软磁材料,Component,BELONGS_TO,磁性材料,Component,软磁材料是磁性材料的一种类型,船舶电气设备及系统::chunk_5
电机,Equipment,HAS_COMPONENT,铁芯,Component,电机用软磁材料制造铁芯,船舶电气设备及系统::chunk_5
电器,Equipment,HAS_COMPONENT,铁芯,Component,电器用软磁材料制造铁芯,船舶电气设备及系统::chunk_5
变压器,Equipment,HAS_COMPONENT,铁芯,Component,变压器用软磁材料制造铁芯,船舶电气设备及系统::chunk_5
软磁材料,Component,HAS_COMPONENT,铸铁,Component,软磁材料包括铸铁,船舶电气设备及系统::chunk_5
软磁材料,Component,HAS_COMPONENT,硅钢,Component,软磁材料包括硅钢,船舶电气设备及系统::chunk_5
软磁材料,Component,HAS_COMPONENT,坡莫合金,Component,软磁材料包括坡莫合金,船舶电气设备及系统::chunk_5
软磁材料,Component,HAS_COMPONENT,铁氧体,Component,软磁材料包括铁氧体,船舶电气设备及系统::chunk_5
铁氧体,Component,HAS_COMPONENT,计算机的磁芯,Component,铁氧体用做计算机的磁芯,船舶电气设备及系统::chunk_5
铁氧体,Component,HAS_COMPONENT,磁鼓,Component,铁氧体用做计算机的磁鼓,船舶电气设备及系统::chunk_5
铁氧体,Component,HAS_COMPONENT,录音机的磁带,Component,铁氧体用做录音机的磁带,船舶电气设备及系统::chunk_5
铁氧体,Component,HAS_COMPONENT,录音机的磁头,Component,铁氧体用做录音机的磁头,船舶电气设备及系统::chunk_5
永磁材料,Component,BELONGS_TO,磁性材料,Component,永磁材料是磁性材料的一种,船舶电气设备及系统::chunk_6
永磁材料,Component,HAS_COMPONENT,碳钢,Component,永磁材料包括碳钢,船舶电气设备及系统::chunk_6
永磁材料,Component,HAS_COMPONENT,钴钢,Component,永磁材料包括钴钢,船舶电气设备及系统::chunk_6
永磁材料,Component,HAS_COMPONENT,铁镍铝钴合金,Component,永磁材料包括铁镍铝钴合金,船舶电气设备及系统::chunk_6
矩磁材料,Component,BELONGS_TO,磁性材料,Component,矩磁材料是磁性材料的一种,船舶电气设备及系统::chunk_6
矩磁材料,Component,HAS_COMPONENT,镁锰铁氧体,Component,矩磁材料包括镁锰铁氧体,船舶电气设备及系统::chunk_6
矩磁材料,Component,HAS_COMPONENT,1J51型铁镍合金,Component,矩磁材料包括1J51型铁镍合金,船舶电气设备及系统::chunk_6
磁路,System,HAS_COMPONENT,铁芯,Component,磁路由铁芯形成,船舶电气设备及系统::chunk_6
磁路,System,HAS_PARAMETER,磁通,Parameter,磁路中存在磁通,船舶电气设备及系统::chunk_6
无分支磁路,System,HAS_COMPONENT,环形铁芯线圈,Component,无分支磁路由环形铁芯线圈构成,船舶电气设备及系统::chunk_6
有分支磁路,System,RELATED_TO,交流接触器,Equipment,交流接触器具有有分支磁路,船舶电气设备及系统::chunk_6
磁路的欧姆定律,DiagnosticMethod,RELATED_TO,磁通,Parameter,描述磁通与磁动势、磁阻的关系,船舶电气设备及系统::chunk_6
磁路的欧姆定律,DiagnosticMethod,RELATED_TO,磁动势,Parameter,描述磁动势产生磁通,船舶电气设备及系统::chunk_6
磁路的欧姆定律,DiagnosticMethod,RELATED_TO,磁阻,Parameter,描述磁阻对磁通的阻碍作用,船舶电气设备及系统::chunk_6
磁路的基尔霍夫磁流定律,DiagnosticMethod,RELATED_TO,有分支磁路,System,适用于有分支磁路,船舶电气设备及系统::chunk_6
磁路的基尔霍夫磁流定律,DiagnosticMethod,RELATED_TO,磁路,System,用于计算电机、电器等的磁路,船舶电气设备及系统::chunk_6
磁场强度H,Parameter,DIAGNOSED_BY,磁路的基尔霍夫磁流定律,DiagnosticMethod,磁场强度H的计算依据基尔霍夫磁压定律,船舶电气设备及系统::chunk_7
均匀磁路,System,DIAGNOSED_BY,磁路的基尔霍夫磁流定律,DiagnosticMethod,均匀磁路的计算依据基尔霍夫磁压定律,船舶电气设备及系统::chunk_7
磁路,System,DIAGNOSED_BY,磁路的基尔霍夫磁流定律,DiagnosticMethod,磁路的计算依据基尔霍夫磁压定律,船舶电气设备及系统::chunk_7
磁路的基尔霍夫磁流定律,DiagnosticMethod,HAS_PARAMETER,磁压降,Parameter,基尔霍夫磁压定律涉及磁压降,船舶电气设备及系统::chunk_7
均匀无分支磁路,System,HAS_COMPONENT,线圈,Component,均匀无分支磁路包含线圈,船舶电气设备及系统::chunk_7
均匀无分支磁路,System,HAS_PARAMETER,磁感应强度,Parameter,均匀无分支磁路具有磁感应强度参数,船舶电气设备及系统::chunk_7
均匀无分支磁路,System,HAS_PARAMETER,磁路的平均长度,Parameter,均匀无分支磁路具有平均长度参数,船舶电气设备及系统::chunk_7
均匀无分支磁路,System,HAS_COMPONENT,铸铁,Component,均匀无分支磁路可使用铸铁作为铁芯材料,船舶电气设备及系统::chunk_7
均匀无分支磁路,System,HAS_COMPONENT,硅钢片,Component,均匀无分支磁路可使用硅钢片作为铁芯材料,船舶电气设备及系统::chunk_7
磁感应强度,Parameter,DIAGNOSED_BY,磁化曲线,DiagnosticMethod,磁感应强度通过磁化曲线查出磁场强度H,船舶电气设备及系统::chunk_7
磁场强度H,Parameter,DIAGNOSED_BY,磁化曲线,DiagnosticMethod,磁场强度H从磁化曲线查出,船舶电气设备及系统::chunk_7
磁动势,Parameter,CAUSED_BY,励磁电流,Parameter,磁动势由励磁电流产生,船舶电气设备及系统::chunk_7
环形铁芯线圈,Component,HAS_COMPONENT,空气隙,Component,环形铁芯线圈的磁路中含有空气隙,船舶电气设备及系统::chunk_7
环形铁芯线圈,Component,HAS_COMPONENT,铸钢,Component,环形铁芯线圈使用铸钢作为铁芯材料,船舶电气设备及系统::chunk_7
铸钢,Component,DIAGNOSED_BY,磁化曲线,DiagnosticMethod,铸钢的磁场强度H从磁化曲线查出,船舶电气设备及系统::chunk_7
磁化曲线,DiagnosticMethod,HAS_PARAMETER,B=0.9T,Parameter,磁化曲线可用于查询特定磁感应强度B对应的磁场强度H,船舶电气设备及系统::chunk_8
磁化曲线,DiagnosticMethod,HAS_PARAMETER,H=500A/m,Parameter,磁化曲线可用于查询特定磁感应强度B对应的磁场强度H,船舶电气设备及系统::chunk_8
空气隙,Component,HAS_PARAMETER,磁场强度,Parameter,空气隙中的磁场强度H0可以通过公式计算,船舶电气设备及系统::chunk_8
磁动势,Parameter,CAUSED_BY,磁阻,Parameter,当磁路中含有空气隙时，由于空气隙磁阻较大，磁动势几乎都降在空气隙上面,船舶电气设备及系统::chunk_8
载流导体,Equipment,HAS_FAULT,电流在磁场中的力效应,FaultPhenomenon,载流导体在磁场中会受到电磁力的作用,船舶电气设备及系统::chunk_8
电流在磁场中的力效应,FaultPhenomenon,DIAGNOSED_BY,电磁作用力定律,DiagnosticMethod,载流导体在磁场中受力规律由电磁作用力定律描述,船舶电气设备及系统::chunk_8
电磁作用力定律,DiagnosticMethod,RELATED_TO,安培定律,DiagnosticMethod,电磁作用力定律也叫安培定律,船舶电气设备及系统::chunk_8
电磁力,Parameter,CAUSED_BY,磁感应强度B,Parameter,电磁力大小与磁感应强度B成正比,船舶电气设备及系统::chunk_8
电磁力,Parameter,CAUSED_BY,导体在磁场内与磁场方向垂直的有效长度 l,Parameter,电磁力大小与导体有效长度l成正比,船舶电气设备及系统::chunk_8
电磁力,Parameter,CAUSED_BY,导体中的电流I,Parameter,电磁力大小与导体中的电流I成正比,船舶电气设备及系统::chunk_8
电磁力,Parameter,CAUSED_BY,电流方向与磁场方向的夹角 α,Parameter,电磁力大小正比于sinα,船舶电气设备及系统::chunk_8
电磁力,Parameter,DIAGNOSED_BY,左手定则,DiagnosticMethod,电磁力的方向可以用左手定则判断,船舶电气设备及系统::chunk_8
直导体,Equipment,HAS_FAULT,感应电动势,Parameter,直导体在切割磁力线时产生感应电动势,船舶电气设备及系统::chunk_9
感应电动势,Parameter,CAUSED_BY,磁感应强度B,Parameter,感应电动势大小与磁感应强度B成正比,船舶电气设备及系统::chunk_9
感应电动势,Parameter,CAUSED_BY,导体垂直于磁场方向的切割速度 v,Parameter,感应电动势大小与切割速度v成正比,船舶电气设备及系统::chunk_9
感应电动势,Parameter,CAUSED_BY,导体在磁场内与磁场方向垂直的有效长度 l,Parameter,感应电动势大小与有效长度l成正比,船舶电气设备及系统::chunk_9
感应电动势,Parameter,DIAGNOSED_BY,左手定则,DiagnosticMethod,直导体中感应电动势的方向用右手定则确定,船舶电气设备及系统::chunk_9
发电机,Equipment,HAS_COMPONENT,发电机转子,Component,发电机包含转子部分,船舶电气设备及系统::chunk_9
发电机,Equipment,HAS_COMPONENT,定子,Component,发电机包含定子部分,船舶电气设备及系统::chunk_9
发电机转子,Component,HAS_COMPONENT,励磁绕组,Component,发电机转子上有励磁绕组,船舶电气设备及系统::chunk_9
发电机,Equipment,HAS_COMPONENT,电枢绕组,Component,发电机包含电枢绕组,船舶电气设备及系统::chunk_9
线圈,Component,HAS_FAULT,感应电动势,Parameter,线圈在磁通发生变化时产生感应电动势,船舶电气设备及系统::chunk_9
感应电动势,Parameter,CAUSED_BY,磁通 Φ,Parameter,线圈中感应电动势由穿过线圈的磁通变化引起,船舶电气设备及系统::chunk_9
感应电动势,Parameter,CAUSED_BY,磁通的变化率,Parameter,感应电动势的大小与磁通的变化率成正比,船舶电气设备及系统::chunk_10
感应电动势,Parameter,CAUSED_BY,线圈匝数 N,Parameter,感应电动势的大小与线圈匝数成正比,船舶电气设备及系统::chunk_10
感应电动势,Parameter,DIAGNOSED_BY,楞次定律,DiagnosticMethod,感应电动势的方向由楞次定律得出,船舶电气设备及系统::chunk_10
感应电流,Parameter,CAUSED_BY,感应电动势,Parameter,感应电动势产生感应电流,船舶电气设备及系统::chunk_10
感应电流,Parameter,DIAGNOSED_BY,左手定则,DiagnosticMethod,感应电流的方向由右手定则确定,船舶电气设备及系统::chunk_10
感应电动势,Parameter,DIAGNOSED_BY,右手螺旋定则,DiagnosticMethod,感应电动势的正方向规定与磁通正方向符合右手螺旋定则,船舶电气设备及系统::chunk_10
自感电动势,Parameter,DIAGNOSED_BY,楞次定律,DiagnosticMethod,自感电动势的大小和方向可以由楞次定律确定,船舶电气设备及系统::chunk_10
磁通的变化率,Parameter,CAUSED_BY,磁通的变化量 ΔΦ,Parameter,磁通的变化率是单位时间内磁通的变化量,船舶电气设备及系统::chunk_10
磁通的变化量 ΔΦ,Parameter,CAUSED_BY,磁通 Φ,Parameter,磁通的变化量由磁通的变化引起,船舶电气设备及系统::chunk_10
自感电动势,Parameter,CAUSED_BY,自感系数,Parameter,自感电动势与自感系数成正比,船舶电气设备及系统::chunk_11
电感元件两端的电压,Parameter,CAUSED_BY,自感电动势,Parameter,电感元件两端电压由自感电动势决定,船舶电气设备及系统::chunk_11
触头烧坏,FaultPhenomenon,CAUSED_BY,高压放弧,FaultPhenomenon,高压放弧将接触器主触头烧坏,船舶电气设备及系统::chunk_11
镇流器,Component,HAS_COMPONENT,铁芯,Component,镇流器是一个具有铁芯的电感线圈,船舶电气设备及系统::chunk_11
日光灯管,Equipment,HAS_COMPONENT,灯丝,Component,日光灯管内有灯丝,船舶电气设备及系统::chunk_11
铁芯线圈电路,System,HAS_COMPONENT,电感线圈,Component,铁芯线圈电路包含电感线圈,船舶电气设备及系统::chunk_11
直流铁芯线圈,Equipment,HAS_COMPONENT,直流电机的励磁线圈,Component,直流铁芯线圈包括直流电机的励磁线圈,船舶电气设备及系统::chunk_12
直流铁芯线圈,Equipment,HAS_COMPONENT,电磁吸盘,Equipment,直流铁芯线圈包括电磁吸盘,船舶电气设备及系统::chunk_12
直流铁芯线圈,Equipment,HAS_COMPONENT,直流电器的线圈,Component,直流铁芯线圈包括直流电器的线圈,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_COMPONENT,交流电机,Equipment,交流铁芯线圈包括交流电机,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_COMPONENT,变压器,Equipment,交流铁芯线圈包括变压器,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_COMPONENT,交流电器的线圈,Component,交流铁芯线圈包括交流电器的线圈,船舶电气设备及系统::chunk_12
直流铁芯线圈,Equipment,HAS_PARAMETER,励磁电流,Parameter,直流铁芯线圈有励磁电流,船舶电气设备及系统::chunk_12
直流铁芯线圈,Equipment,HAS_PARAMETER,磁通,Parameter,直流铁芯线圈产生磁通,船舶电气设备及系统::chunk_12
线圈中的电流I,Parameter,CAUSED_BY,线圈本身的电阻R,Parameter,线圈中的电流由线圈电阻决定,船舶电气设备及系统::chunk_12
功率损耗,Parameter,CAUSED_BY,线圈中的电流I,Parameter,功率损耗由线圈电流引起,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_PARAMETER,主磁通,Parameter,交流铁芯线圈产生主磁通,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_PARAMETER,漏磁通,Parameter,交流铁芯线圈产生漏磁通,船舶电气设备及系统::chunk_12
主磁电动势 e,Parameter,CAUSED_BY,主磁通,Parameter,主磁电动势由主磁通变化产生,船舶电气设备及系统::chunk_12
漏磁电动势 e_σ,Parameter,CAUSED_BY,漏磁通,Parameter,漏磁电动势由漏磁通变化产生,船舶电气设备及系统::chunk_12
漏磁电感 L_σ,Parameter,RELATED_TO,漏磁通,Parameter,漏磁电感与漏磁通相关,船舶电气设备及系统::chunk_12
主磁电感L,Parameter,RELATED_TO,主磁通,Parameter,主磁电感与主磁通相关,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,HAS_COMPONENT,非线性电感元件,Component,交流铁芯线圈是非线性电感元件,船舶电气设备及系统::chunk_12
交流铁芯线圈,Equipment,DIAGNOSED_BY,基尔霍夫电压定律,DiagnosticMethod,交流铁芯电路用基尔霍夫电压定律分析,船舶电气设备及系统::chunk_12
主磁电动势 e,Parameter,CAUSED_BY,主磁通 Φ_m,Parameter,主磁通变化产生主磁电动势,船舶电气设备及系统::chunk_13
主磁电动势 e,Parameter,HAS_PARAMETER,线圈匝数 N,Parameter,主磁电动势与线圈匝数成正比,船舶电气设备及系统::chunk_13
铁损,Parameter,HAS_COMPONENT,磁滞损耗,Parameter,铁损包括磁滞损耗,船舶电气设备及系统::chunk_13
铁损,Parameter,HAS_COMPONENT,涡流损失,Parameter,铁损包括涡流损失,船舶电气设备及系统::chunk_13
涡流损失,Parameter,CAUSED_BY,涡流,Parameter,涡流造成电能损耗,船舶电气设备及系统::chunk_13
铁芯迅速发热,FaultPhenomenon,CAUSED_BY,涡流,Parameter,涡流使铁芯发热,船舶电气设备及系统::chunk_13
绝缘材料老化,FaultPhenomenon,CAUSED_BY,铁芯迅速发热,FaultPhenomenon,温度升高导致绝缘老化,船舶电气设备及系统::chunk_13
效率下降,FaultPhenomenon,CAUSED_BY,涡流损失,Parameter,涡流损失导致效率下降,船舶电气设备及系统::chunk_13
交流电机,Equipment,HAS_COMPONENT,铁芯,Component,交流电机包含铁芯,船舶电气设备及系统::chunk_13
接触器,Equipment,HAS_COMPONENT,铁芯,Component,接触器包含铁芯,船舶电气设备及系统::chunk_13
交流电机,Equipment,HAS_FAULT,铁芯迅速发热,FaultPhenomenon,交流电机可能发生铁芯发热故障,船舶电气设备及系统::chunk_13
变压器,Equipment,HAS_FAULT,铁芯迅速发热,FaultPhenomenon,变压器可能发生铁芯发热故障,船舶电气设备及系统::chunk_13
接触器,Equipment,HAS_FAULT,铁芯迅速发热,FaultPhenomenon,接触器可能发生铁芯发热故障,船舶电气设备及系统::chunk_13
电磁铁,Equipment,HAS_COMPONENT,线圈,Component,电磁铁由线圈组成,船舶电气设备及系统::chunk_14
电磁铁,Equipment,HAS_COMPONENT,铁芯,Component,电磁铁由铁芯组成,船舶电气设备及系统::chunk_14
电磁铁,Equipment,HAS_COMPONENT,衔铁,Component,电磁铁由衔铁组成,船舶电气设备及系统::chunk_14
电磁铁,Equipment,HAS_PARAMETER,吸力,Parameter,电磁铁有吸力参数,船舶电气设备及系统::chunk_14
吸力,Parameter,RELATED_TO,气隙的截面积 S0,Parameter,吸力与气隙截面积相关,船舶电气设备及系统::chunk_14
